"name","long","lat","year","date"
"Danaus plexippus","-121.931206","36.629453","2017","2017-03-21"
"Danaus plexippus","-97.759368","30.575256","2017","2017-03-29"
"Danaus plexippus","-119.665425","34.420169","2017","2017-03-23"
"Danaus plexippus","-96.965053","33.063595","2017","2017-03-18"
"Danaus plexippus","-96.991442","33.063361","2017","2017-03-21"
"Danaus plexippus","-118.05375","33.775978","2017","2017-03-31"
"Danaus plexippus","-81.741189","39.824078","2017","2017-03-16"
"Danaus plexippus","-81.711388","39.834793","2017","2017-03-16"
"Danaus plexippus","-118.288366","34.017103","2017","2017-03-18"
"Danaus plexippus","-98.589935","29.518232","2017","2017-03-19"
"Danaus plexippus","-117.852599","34.133392","2017","2017-03-19"
"Danaus plexippus","-117.229325","32.75105","2017","2017-03-23"
"Danaus plexippus","-97.116449","32.783195","2017","2017-03-30"
"Danaus plexippus","-118.28103","34.170282","2017","2017-03-28"
"Danaus plexippus","-118.208787","34.201245","2017","2017-03-03"
"Danaus plexippus","-98.23178","26.235297","2017","2017-03-26"
"Danaus plexippus","-96.965683","33.063222","2017","2017-03-30"
"Danaus plexippus","-96.96933","33.062162","2017","2017-03-25"
"Danaus plexippus","-118.287567","33.885308","2017","2017-03-05"
"Danaus plexippus","-121.1589","36.479439","2017","2017-03-17"
"Danaus plexippus","-118.278272","34.146848","2017","2017-03-28"
"Danaus plexippus","-97.878184","30.19814","2017","2017-03-28"
"Danaus plexippus","-117.852503","34.133412","2017","2017-03-01"
"Danaus plexippus","-96.965289","33.063559","2017","2017-03-24"
"Danaus plexippus","-118.210075","34.126742","2017","2017-03-28"
"Danaus plexippus","-98.231972","26.23545","2017","2017-03-22"
"Danaus plexippus","-122.274058","38.180992","2017","2017-03-01"
"Danaus plexippus","-122.469445","37.768128","2017","2017-03-02"
"Danaus plexippus","-96.998133","33.075142","2017","2017-03-15"
"Danaus plexippus","-97.414505","30.128733","2017","2017-03-18"
"Danaus plexippus","-117.852639","34.133438","2017","2017-03-01"
"Danaus plexippus","-117.852569","34.133419","2017","2017-03-02"
"Danaus plexippus","-118.959472","34.143259","2017","2017-03-11"
"Danaus plexippus","-96.963497","33.067887","2017","2017-03-27"
"Danaus plexippus","-97.449007","26.228543","2017","2017-03-30"
"Danaus plexippus","-117.852426","34.133441","2017","2017-03-01"
"Danaus plexippus","-97.760049","30.77776","2017","2017-03-28"
"Danaus plexippus","-117.882312","33.64252","2017","2017-03-20"
"Danaus plexippus","-94.166665","30.852693","2017","2017-03-30"
"Danaus plexippus","-118.356658","34.05917","2017","2017-03-15"
"Danaus plexippus","-122.10106","36.974372","2017","2017-03-11"
"Danaus plexippus","-118.340639","34.129839","2017","2017-03-28"
"Danaus plexippus","-97.647324","30.23533","2017","2017-03-20"
"Danaus plexippus","-122.433625","37.447145","2017","2017-03-11"
"Danaus plexippus","-98.4105","29.840551","2017","2017-03-15"
"Danaus plexippus","-117.852582","34.133454","2017","2017-03-07"
"Danaus plexippus","-122.439183","37.674714","2017","2017-03-28"
"Danaus plexippus","-117.852637","34.133444","2017","2017-03-23"
"Danaus plexippus","-118.283175","34.02273","2017","2017-03-31"
"Danaus plexippus","-90.123886","29.943987","2017","2017-03-03"
"Danaus plexippus","-117.85261","34.133462","2017","2017-03-16"
"Danaus plexippus","-97.492108","30.997556","2017","2017-03-18"
"Danaus plexippus","-118.287667","34.017392","2017","2017-03-19"
"Danaus plexippus","-117.852588","34.133424","2017","2017-03-18"
"Danaus plexippus","-96.100327","28.627987","2017","2017-03-31"
"Danaus plexippus","-95.419722","29.0425","2017","2017-03-31"
"Danaus plexippus","-106.862807","33.809793","2017","2017-03-24"
"Danaus plexippus","-118.287926","34.017902","2017","2017-03-19"
"Danaus plexippus","-97.768831","30.383993","2017","2017-03-17"
"Danaus plexippus","-118.371609","34.127384","2017","2017-03-13"
"Danaus plexippus","-122.056754","36.952905","2017","2017-03-17"
"Danaus plexippus","-96.96933","33.062162","2017","2017-03-25"
"Danaus plexippus","-97.799466","30.347312","2017","2017-03-13"
"Danaus plexippus","-117.852556","34.133495","2017","2017-03-11"
